p[bar],phi
0.1,0.9999791736031978
0.2,0.999958415489927
0.3,0.99993772569497
0.4,0.9999171042531135
0.5,0.999896551199149
0.6,0.9998760665678708
0.7,0.9998556503940773
0.8,0.9998353027125702
0.9,0.9998150235581541
1.0,0.9997948129656364
1.1,0.9997746709698281
1.2,0.9997545976055414
1.3,0.9997345929075914
1.4,0.9997146569107951
1.5,0.9996947896499706
1.6,0.9996749911599384
1.7,0.9996552614755204
1.8,0.9996356006315381
1.9,0.9996160086628156
2.0,0.9995964856041764
2.1,0.9995770314904451
2.2,0.9995576463564455
2.3,0.9995383302370024
2.4,0.9995190831669394
2.5,0.9994999051810799
2.6,0.9994807963142466
2.7,0.9994617566012607
2.8,0.9994427860769428
2.9,0.9994238847761115
3.0,0.999405052733584
3.1,0.9993862899841751
3.2,0.9993675965626979
3.3,0.9993489725039624
3.4,0.9993304178427768
3.5,0.9993119326139452
3.6,0.9992935168522701
3.7,0.9992751705925497
3.8,0.9992568938695782
3.9,0.9992386867181468
4.0,0.9992205491730421
4.1,0.999202481269047
4.2,0.9991844830409387
4.3,0.9991665546853224
4.4,0.9991486959329083
4.5,0.9991309069625391
4.6,0.9991131878091004
4.7,0.9990955385074785
4.8,0.9990779590925571
4.9,0.9990604495992235
5.0,0.9990430100623607
5.1,0.9990256405168544
5.2,0.999008340997588
5.3,0.998991111539445
5.4,0.9989739521773073
5.5,0.9989568629460571
5.6,0.9989398438805736
5.7,0.9989228950157375
5.8,0.998906016386426
5.9,0.998889208027516
6.0,0.9988724699738826
6.1,0.9988558022603993
6.2,0.9988392049219378
6.3,0.998822677993368
6.4,0.9988062215095574
6.5,0.9987898355053724
6.6,0.9987735200156764
6.7,0.9987572750753306
6.8,0.9987411007191931
6.9,0.9987249969821209
7.0,0.9987089638989668
7.1,0.9986930015045813
7.2,0.9986771098338122
7.3,0.9986612889215039
7.4,0.998645538802497
7.5,0.9986298595116305
7.6,0.9986142510837376
7.7,0.9985987135536498
7.8,0.9985832469561937
7.9,0.9985678513261931
8.0,0.9985525266984665
8.1,0.998537273107829
8.2,0.9985220905890917
8.3,0.9985069791770609
8.4,0.9984919389065384
8.5,0.9984769698123217
8.6,0.9984620719292032
8.7,0.9984472452919702
8.8,0.9984324899354055
8.9,0.9984178058942863
9.0,0.9984031932033848
9.1,0.9983886518974681
9.2,0.9983741820112964
9.3,0.9983597835796256
9.4,0.9983454566372049
9.5,0.9983312012187779
9.6,0.9983170173590824
9.7,0.9983029050928495
9.8,0.998288864454804
9.9,0.9982748954796635
10.0,0.9982609982021406
10.1,0.9982471726569399
10.2,0.9982334188787585
10.3,0.9982197369022883
10.4,0.9982061267622122
10.5,0.9981925884932066
10.6,0.9981791221299405
10.7,0.998165727707075
10.8,0.9981524052592625
10.9,0.9981391548211502
11.0,0.9981259764273738
11.1,0.998112870112563
11.2,0.998099835911339
11.3,0.9980868738583133
11.4,0.9980739839880907
11.5,0.9980611663352651
11.6,0.9980484209344224
11.7,0.9980357478201403
11.8,0.9980231470269857
11.9,0.9980106185895172
12.0,0.997998162542284
12.1,0.997985778919824
12.2,0.9979734677566674
12.3,0.9979612290873338
12.4,0.9979490629463318
12.5,0.9979369693681599
12.6,0.9979249483873083
12.7,0.9979130000382535
12.8,0.9979011243554632
12.9,0.9978893213733939
13.0,0.9978775911264912
13.1,0.9978659336491889
13.2,0.99785434897591
13.3,0.9978428371410663
13.4,0.9978313981790569
13.5,0.9978200321242704
13.6,0.9978087390110824
13.7,0.9977975188738575
13.8,0.9977863717469468
13.9,0.9977752976646896
14.0,0.997764296661413
14.1,0.9977533687714313
14.2,0.9977425140290446
14.3,0.9977317324685413
14.4,0.9977210241241969
14.5,0.9977103890302723
14.6,0.9976998272210159
14.7,0.9976893387306612
14.8,0.9976789235934296
14.9,0.9976685818435267
15.0,0.9976583135151453
15.1,0.9976481186424633
15.2,0.9976379972596436
15.3,0.9976279494008353
15.4,0.9976179751001726
15.5,0.997608074391774
15.6,0.997598247309744
15.7,0.9975884938881703
15.8,0.9975788141611258
15.9,0.9975692081626681
16.0,0.9975596759268388
16.1,0.9975502174876637
16.2,0.9975408328791513
16.3,0.9975315221352951
16.4,0.9975222852900713
16.5,0.9975131223774398
16.6,0.9975040334313439
16.7,0.997495018485709
16.8,0.9974860775744445
16.9,0.997477210731441
17.0,0.9974684179905733
17.1,0.9974596993856967
17.2,0.9974510549506501
17.3,0.9974424847192536
17.4,0.9974339887253089
17.5,0.9974255670026
17.6,0.9974172195848914
17.7,0.9974089465059295
17.8,0.9974007477994419
17.9,0.9973926234991368
18.0,0.9973845736387029
18.1,0.9973765982518097
18.2,0.9973686973721069
18.3,0.9973608710332243
18.4,0.9973531192687726
18.5,0.9973454421123407
18.6,0.9973378395974979
18.7,0.9973303117577939
18.8,0.9973228586267557
18.9,0.9973154802378912
19.0,0.9973081766246864
19.1,0.9973009478206056
19.2,0.9972937938590922
19.3,0.9972867147735685
19.4,0.997279710597433
19.5,0.9972727813640648
19.6,0.9972659271068185
19.7,0.9972591478590274
19.8,0.9972524436540022
19.9,0.9972458145250306
20.0,0.9972392605053768
20.1,0.9972327816282829
20.2,0.9972263779269674
20.3,0.9972200494346244
20.4,0.997213796184425
20.5,0.9972076182095162
20.6,0.9972015155430209
20.7,0.9971954882180378
20.8,0.9971895362676411
20.9,0.9971836597248799
21.0,0.9971778586227784
21.1,0.9971721329943368
21.2,0.9971664828725282
21.3,0.997160908290302
21.4,0.9971554092805804
21.5,0.9971499858762614
21.6,0.9971446381102147
21.7,0.9971393660152861
21.8,0.9971341696242932
21.9,0.9971290489700275
22.0,0.997124004085254
22.1,0.9971190350027102
22.2,0.9971141417551064
22.3,0.9971093243751252
22.4,0.9971045828954217
22.5,0.9970999173486234
22.6,0.9970953277673291
22.7,0.9970908141841102
22.8,0.9970863766315087
22.9,0.9970820151420381
23.0,0.9970777297481839
23.1,0.9970735204824005
23.2,0.9970693873771153
23.3,0.9970653304647243
23.4,0.9970613497775949
23.5,0.9970574453480645
23.6,0.9970536172084393
23.7,0.9970498653909964
23.8,0.9970461899279814
23.9,0.9970425908516098
24.0,0.9970390681940655
24.1,0.9970356219875017
24.2,0.9970322522640398
24.3,0.9970289590557699
24.4,0.9970257423947497
24.5,0.9970226023130053
24.6,0.9970195388425308
24.7,0.9970165520152865
24.8,0.9970136418632015
24.9,0.9970108084181715
25.0,0.9970080517120585
25.1,0.9970053717766915
25.2,0.9970027686438665
25.3,0.9970002423453446
25.4,0.9969977929128533
25.5,0.9969954203780861
25.6,0.9969931247727022
25.7,0.9969909061283257
25.8,0.9969887644765454
25.9,0.9969866998489163
26.0,0.9969847122769567
26.1,0.9969828017921498
26.2,0.9969809684259427
26.3,0.9969792122097477
26.4,0.9969775331749396
26.5,0.9969759313528571
26.6,0.9969744067748016
26.7,0.9969729594720387
26.8,0.9969715894757961
26.9,0.9969702968172647
27.0,0.9969690815275964
